ENSG	TCGA-2J-AAB1	TCGA-2J-AAB4	TCGA-2J-AAB6	TCGA-2J-AAB8	TCGA-2J-AAB9
ENSG00000233776	0.0511325168234973	0.42054647413353	0	0	0.250103962092671
ENSG00000239783	0	3.57223815645544	0	2.14317242162627	0
ENSG00000202422	0	0	0	0	0
ENSG00000152527	0.113189060834211	0.0910366946394704	0.0434649427174239	0.105890228613625	0.0746076892507605
ENSG00000227337	0.609607304710108	0	2.77811001137935	1.33690693962821	0
ENSG00000254618	0	0	0	0	0
ENSG00000108518	775.32901419196	504.359952987235	919.581367993785	602.426205888885	704.807072008652
ENSG00000224240	0	0	0	26.2303529991841	0
ENSG00000261308	0.141244100312289	0.322689357362294	0.590039427436146	0.154878572180278	0.604507608698204
ENSG00000256136	0	0	0	0	0
ENSG00000281269	0	0	0	0	0
ENSG00000260261	0.472542922386833	0.893793373917575	0.584277112112963	2.55463988109805	0.698778543852214
ENSG00000158417	0.977717994729124	1.04199231697553	1.41271336977843	1.48788196806039	1.1883614187799
ENSG00000108679	248.55786645757	246.235575889132	282.378393391356	151.362557363609	128.489692602067
ENSG00000199805	0	0	0	0	12.1483555590449
ENSG00000233318	0	0	0	0	0
ENSG00000143595	0.0975033308155669	0.623723071315698	0.169273674340839	0.458209074910815	0.0681310079018352
ENSG00000187097	0.509389598939061	0.216653805238334	0.240522484456443	0.321638400663636	0.157799572060302
ENSG00000255467	0	0	0	0	0.0413087987856886
ENSG00000263325	5.85938037236668	53.5458736390381	24.1593516565053	6.11904169499468	6.82379236194577
ENSG00000258777	0.0280615592867284	0.0641100514128015	0.0213137479889522	0.0307703771404695	0.034314305241158
ENSG00000261236	2.07273598104537	2.77818758959218	3.03152703659591	3.08678107384364	3.63083170941287
ENSG00000229938	0	0	0	0	0
ENSG00000279201	0	0	0	0	0
ENSG00000249557	0	0	0	0	0
ENSG00000266541	0.181087406497466	0.165486498054387	0.412626893604328	0.397136006333194	0
ENSG00000178082	0.122896920381467	0.561545978515617	0.560067378195627	0.539041262945394	0.300562231491461
ENSG00000203872	0.0181971497242997	0.0187081226176164	0.0276427592194501	0.0698381027091945	0.044503767148442
ENSG00000214765	0.161021904631285	0.236533964803346	0.260775821243192	0.344375789313409	0.177373811108386
ENSG00000141854	32.7827616827405	16.7867241470062	8.11570329106261	17.1011537470295	12.6211677656423
ENSG00000224916	0.0605402292061937	0.0461038434262986	0	0	0.123383254360959
ENSG00000185000	7.5953085072959	12.3505458811318	9.8394134161701	8.41585507322756	6.84562969302754
ENSG00000176007	0	0	0	0	0
ENSG00000181392	1.12118631233542	6.96724394354404	15.6690850172848	3.22855291963499	3.26658467432272
ENSG00000277697	0	0	0	0	0
ENSG00000146005	0.00246399316599416	0.0225171704735235	0.0131004304483158	0.00675461386648981	0.0331432883044525
ENSG00000250819	0	0	0	0	0
ENSG00000278944	0	0	0	0	0
ENSG00000250332	0	0	0	0	0
ENSG00000242428	0	0	0	0	0
ENSG00000264338	0	0	0	0	0
ENSG00000226908	0	0	0	0	0
ENSG00000261438	11.9152476205662	3.1346355487609	3.2909281848421	5.14699213059111	4.85674417565134
ENSG00000241566	0.832553908239515	0	0.632354175553086	7.30337113045169	17.3071156512374
ENSG00000270393	0	0	0	0	0
ENSG00000224931	0	0	0	0	0
ENSG00000254837	5.58417249822542	5.17023490304555	1.70611771848055	3.40690421681788	3.67093451087152
ENSG00000236235	0	0	0	0	0
ENSG00000273415	0.0909231997578076	0.166180102867446	35.0821701056013	0.099700131371576	2.11247570258815
ENSG00000100314	0.469461173170179	1.6418751807275	1.04558819806601	0.0387051770466316	1.47617401212148
ENSG00000254200	0	0.35744698754173	0	0	0
ENSG00000111432	0.539862645772518	0.413039551820085	1.33502957156625	1.37668900145826	0.890443211451139
ENSG00000168582	0	0	0	0	0
ENSG00000117643	0.0658843867579349	0.126340191859514	0.101162112186666	0.0792545176500689	0.108143731698934
ENSG00000185155	0.0387846961234771	0.0354433456402688	0.11783340056878	0.297700423687305	0.331987585403676
ENSG00000271269	0	0	0	0	0
ENSG00000250167	0.00404962595625439	0.00555111835956362	0.00307583431836712	0.0266432488683136	0.00495197361470728
ENSG00000227244	0	0	0.0290914857182053	0	0
ENSG00000189068	0.0894684643134604	0.149092937750306	0.0159892863262484	0.0230835219935339	0
ENSG00000272381	0.00325346545452339	0.00817623208217038	0.00617780555954201	0.00713505318976033	0.00397841066340916
ENSG00000023572	3.51809973445606	2.95859908489458	7.639316196711	4.18904309928491	3.69497912279275
ENSG00000224462	0	0	0	0	0
ENSG00000260152	0	0	0	0	0
ENSG00000114127	0.158380532661154	0.161506250795426	0.216471519247752	0.147859424793568	0.125861936356412
ENSG00000132005	0.692308602139114	0.558614175578639	0.610511410102895	0.551016133595821	0.787383731086623
ENSG00000230635	0.231297013066292	0	0	0.507248813282409	0
ENSG00000266828	0	0	0	0	0
ENSG00000213209	0	0	0	0	1.97714611997114
ENSG00000264048	0	0	0	0	0
ENSG00000272017	0.811415364507457	1.23585151260558	1.64346320809237	3.85555004111916	0.661477960191804
ENSG00000200422	0	0	0	0	0
ENSG00000269364	0.227186033253516	0	0	0	0
ENSG00000226889	0.260457208502434	0.238018491522229	0.791305892478926	1.14239789068064	0
ENSG00000230226	0	0	0	0	0
ENSG00000205414	0.0215955643249573	0.0657835974126905	0.229636341800638	0.173654884310009	0.0880251377016668
ENSG00000228923	0.449826683358237	0	0.227772863459991	0	0
ENSG00000259155	0	0.448381501172585	2.98133915299679	1.07603001322232	0
ENSG00000279084	0	0	0	0	0
ENSG00000260966	0.279340657470918	0.373458027709022	0.542209976677913	0.669334819551261	0.518701679378287
ENSG00000259884	8.06175225542203	0.646247555419896	1.71878914225038	25.7444548421482	1.38359183243853
ENSG00000260029	0	0	0	0	0
ENSG00000261175	0.10077411637312	1.133572482379	0.125249743603151	1.49880853097931	0.0851399354239906
ENSG00000138311	0.015214608794998	0.0335247461411328	0.157679045006758	0.0244761487996344	0.0392903271582322
ENSG00000213215	0	0	0	0	0
ENSG00000128610	1.18606602483671	0.32058568678405	0.0507526279784182	0.793768086501645	0
ENSG00000258823	0	0.104054225214813	0	0	0
ENSG00000185078	0	0	0	1.81928513526915	0
ENSG00000228290	0.00297903374351092	0.00272238622958146	0.00905072648474184	0.0261328291461614	0
ENSG00000251488	0	0	0	0	0
